seqnames	start	end	width	strand	score	replicateScoreQuantile	groupScoreQuantile	Reproducibility	GroupReplicate	distToGeneStart	nearestGene	peakType	distToTSS	nearestTSS	GC	idx	N	peak_id
chr14	34629978	34630478	501	*	71.34357	0.983	0.968	5	Microglia._.D19-13169	44	SNX6	Promoter	44	uc002skk.4	0.7126	113	0	Peak61843
chr14	51859890	51860390	501	*	10.50604	0.48	0.3	4	Microglia._.D19-13169	33944	GNG2	Intronic	273	uc061kzw.1	0.505	2000	0	Peak62088
chr14	58629244	58629744	501	*	24.22068	0.706	0.589	4	Microglia._.D19-12703	4472	DACT1	Distal	4472	uc061lcp.1	0.4471	1203	0	Peak62272
chr14	68341686	68342186	501	*	6.36661	0.159	0.05	2	Microglia._.Other	454316	ZFP36L1	Intronic	45200	uc061lhx.1	0.3872	2693	0	Peak62649
chr14	100342976	100343476	501	*	17.15491	0.509	0.336	3	Microglia._.Other	19888	SLC25A47	Intronic	691	uc061lzc.1	0.509	1922	0	Peak63958
chr14	21017788	21018288	501	*	29.57388	0.823	0.745	4	Microglia._.D19-13166	5347	MIR6717	Exonic	775	uc061kld.1	0.5749	776	0	Peak61512
chr14	24232358	24232858	501	*	97.61022	0.914	0.864	5	Microglia._.Other	153	NEDD8	Promoter	26	uc002siz.4	0.5948	415	0	Peak61712
chr14	24662632	24663132	501	*	35.81517	0.711	0.596	3	Microglia._.Other	28614	GZMB	Distal	28614	uc061krg.1	0.4611	1180	0	Peak61760
chr14	66038480	66038980	501	*	110.75934	0.932	0.891	4	Microglia._.Other	447623	CCDC196	Distal	26996	uc002spq.3	0.4511	346	0	Peak62556
chr14	67516611	67517111	501	*	40.89185	0.853	0.783	4	Microglia._.D19-12703	16439	PLEKHH1	Intronic	1375	uc002spt.5	0.4651	675	0	Peak62580
chr14	68816026	68816526	501	*	37.35761	0.721	0.604	5	Microglia._.Other	20022	ZFP36L1	Distal	20022	uc061lhx.1	0.6607	1163	0	Peak62757
chr14	68957684	68958184	501	*	10.50604	0.48	0.3	4	Microglia._.D19-13169	21505	ACTN1	Intronic	10385	uc061lii.1	0.525	2006	0	Peak62764
chr14	73240243	73240743	501	*	9.69559	0.32	0.142	4	Microglia._.Other	2995	PAPLN	Intronic	867	uc021vkc.2	0.481	2450	0	Peak62898
chr14	89215467	89215967	501	*	9.48621	0.368	0.199	2	Microglia._.D19-12703	201636	FOXN3-AS1	Intronic	7624	uc061lrw.1	0.4092	2297	0	Peak63461
chr14	20469789	20470289	501	*	22.01645	0.95	0.917	5	Microglia._.D19-13165	1084	PNP	Intronic	486	uc061kkb.1	0.515	251	0	Peak61419
chr14	24243089	24243589	501	*	56.77856	0.816	0.731	5	Microglia._.Other	664	TINF2	Promoter	664	uc061kpx.1	0.5429	821	0	Peak61715
chr14	31410260	31410760	501	*	16.69186	0.664	0.527	4	Microglia._.D19-13169	9775	LOC101927124	Intronic	9775	uc002skb.6	0.3393	1392	0	Peak61790
chr14	55278106	55278606	501	*	4.34454	0.044	0.011	2	Microglia._.Other	7052	FBXO34	Intronic	6144	uc061lbu.1	0.3812	2816	0	Peak62205
chr14	64993217	64993717	501	*	34.28598	0.7	0.58	4	Microglia._.Other	6746	FNTB	Intronic	6251	uc061lgf.1	0.3573	1230	0	Peak62511
chr14	68298081	68298581	501	*	37.35761	0.721	0.604	4	Microglia._.Other	478522	RAD51B	Intronic	61791	uc061lhw.1	0.4391	1161	0	Peak62634
chr14	68734089	68734589	501	*	25.41491	0.621	0.47	3	Microglia._.Other	61913	ZFP36L1	Distal	1688	uc061lhx.1	0.505	1573	0	Peak62725
chr14	73754051	73754551	501	*	84.7678	0.892	0.836	5	Microglia._.Other	4445	MIR4505	Intronic	714	uc061lle.1	0.5489	506	0	Peak62942
chr14	73949979	73950479	501	*	84.10494	0.975	0.956	5	Microglia._.D19-12703	184	FAM161B	Exonic	9	uc061llj.1	0.6647	145	0	Peak62968
chr14	81121043	81121543	501	*	7.44057	0.221	0.075	2	Microglia._.Other	81540	SNORA79	Intronic	12943	uc002ste.4	0.3613	2659	0	Peak63331
chr14	89673492	89673992	501	*	13.30873	0.429	0.259	2	Microglia._.Other	97525	FOXN3-AS2	Intronic	22838	uc061lrx.1	0.4291	2148	0	Peak63514
chr14	104795526	104796026	501	*	58.46455	0.822	0.742	4	Microglia._.Other	24	AKT1	Promoter	24	uc061mkz.1	0.8343	799	0	Peak64152
chr14	20988657	20989157	501	*	35.86126	0.888	0.832	3	Microglia._.D19-13169	862	METTL17	Promoter	862	uc061kkx.1	0.5509	509	0	Peak61507
chr14	20989729	20990229	501	*	55.10212	0.81	0.724	5	Microglia._.Other	208	METTL17	Exonic	0	uc061kkx.1	0.6008	850	0	Peak61508
chr14	31207572	31208072	501	*	64.18176	0.972	0.951	5	Microglia._.D19-13166	17	HECTD1	Promoter	17	uc061krz.1	0.7445	159	0	Peak61786
chr14	50954767	50955267	501	*	31.26897	0.677	0.55	2	Microglia._.Other	10280	PYGL	Distal	6984	uc061kzo.1	0.3453	1316	0	Peak62068
chr14	58749185	58749685	501	*	90.23186	0.901	0.848	4	Microglia._.Other	78798	LINC01500	Distal	21810	uc061lcq.1	0.4271	469	0	Peak62284
chr14	67485346	67485846	501	*	12.07641	0.396	0.213	2	Microglia._.Other	43665	MIR5694	Intronic	3135	uc061lhe.1	0.519	2260	0	Peak62572
chr14	81400128	81400628	501	*	9.05292	0.413	0.229	2	Microglia._.D19-13169	36086	STON2	Intronic	1794	uc021vks.1	0.491	2224	0	Peak63352
chr14	100349281	100349781	501	*	29.78221	0.665	0.537	3	Microglia._.Other	26193	SLC25A47	Intronic	2701	uc061lzc.1	0.5489	1382	0	Peak63960
chr14	41749337	41749837	501	*	4.98173	0.124	0.038	2	Microglia._.D19-13169	142016	LRFN5	Intronic	50159	uc061kvy.1	0.3613	2730	0	Peak61945
chr14	68977723	68978223	501	*	18.48246	0.531	0.361	2	Microglia._.Other	1466	ACTN1	Promoter	266	uc061lii.1	0.6547	1854	0	Peak62765
chr14	71141769	71142269	501	*	21.19896	0.57	0.412	2	Microglia._.Other	178429	SIPA1L1	Distal	1233	uc061ljn.1	0.511	1717	0	Peak62854
chr14	74881128	74881628	501	*	8.02917	0.294	0.128	4	Microglia._.D19-12703	512	DLST	Promoter	512	uc061lmp.1	0.477	2491	0	Peak63006
chr14	80959355	80959855	501	*	34.28598	0.7	0.58	4	Microglia._.Other	100	CEP128	Promoter	87	uc032nug.1	0.4132	1237	0	Peak63324
chr14	90658617	90659117	501	*	67.2206	0.979	0.962	5	Microglia._.D19-13169	16228	LOC101928909	Intronic	848	uc061lsf.1	0.5269	127	0	Peak63583
chr14	92600262	92600762	501	*	22.58626	0.588	0.435	2	Microglia._.Other	86737	RIN3	Intronic	14960	uc061ltb.1	0.5509	1660	0	Peak63696
chr14	20684229	20684729	501	*	112.66124	0.934	0.895	5	Microglia._.Other	301	ANG	Exonic	103	uc002shk.5	0.6248	332	0	Peak61443
chr14	49586787	49587287	501	*	31.26897	0.677	0.55	5	Microglia._.Other	457	RN7SL1	Intronic	233	uc061kxu.1	0.3593	1315	0	Peak61973
chr14	60164557	60165057	501	*	37.72055	0.899	0.845	3	Microglia._.D19-13169	5048	DHRS7	Intronic	485	uc061lds.1	0.501	474	0	Peak62342
chr14	68733081	68733581	501	*	88.40379	0.898	0.843	4	Microglia._.Other	62921	ZFP36L1	Distal	2696	uc061lhx.1	0.5449	481	0	Peak62724
chr14	73269941	73270441	501	*	22.58626	0.588	0.435	5	Microglia._.Other	24211	LOC101928123	Intronic	1811	uc061lki.1	0.6307	1651	0	Peak62901
chr14	76102436	76102936	501	*	13.30873	0.429	0.259	3	Microglia._.Other	49229	GPATCH2L	Distal	44361	uc032ntz.1	0.511	2136	0	Peak63138
chr14	77043173	77043673	501	*	46.87028	0.775	0.676	5	Microglia._.Other	2358	LINC02288	Intronic	2358	uc010fgy.4	0.475	974	0	Peak63241
chr14	92768096	92768596	501	*	9.48621	0.368	0.199	3	Microglia._.D19-12703	19643	LGMN	Distal	19643	uc061ltc.1	0.4052	2300	0	Peak63738
chr14	96363131	96363631	501	*	65.29874	0.844	0.772	5	Microglia._.Other	70	GSKIP	Promoter	70	uc061lxe.1	0.7525	712	0	Peak63851
chr14	100147012	100147512	501	*	53.43536	0.803	0.717	3	Microglia._.Other	12900	DEGS2	Intronic	6081	uc061lyr.1	0.6327	883	0	Peak63929
chr14	101824873	101825373	501	*	38.96928	0.841	0.769	5	Microglia._.D19-12703	63324	PPP2R5C	Intronic	284	uc061mib.1	0.4331	721	0	Peak63990
chr14	103571971	103572471	501	*	28.31061	0.651	0.511	3	Microglia._.Other	9258	APOPT1	Intronic	464	uc061mjm.1	0.4471	1470	0	Peak64109
chr14	23695662	23696162	501	*	28.31061	0.651	0.511	2	Microglia._.Other	65796	DHRS2	Distal	33784	uc061kod.1	0.4711	1440	0	Peak61669
chr14	24390683	24391183	501	*	12.07641	0.396	0.213	2	Microglia._.Other	7852	NYNRIN	Distal	7852	uc061kql.1	0.4012	2242	0	Peak61746
chr14	61749204	61749704	501	*	14.56691	0.458	0.278	2	Microglia._.Other	15315	SNAPC1	Intronic	1642	uc002soy.4	0.3613	2060	0	Peak62441
chr14	67620371	67620871	501	*	9.69559	0.32	0.142	2	Microglia._.Other	822	ARG2	Intronic	640	uc002spu.2	0.5309	2444	0	Peak62594
chr14	76728887	76729387	501	*	7.44057	0.221	0.075	2	Microglia._.Other	33051	VASH1	Distal	2424	uc061lof.1	0.4351	2657	0	Peak63161
chr14	76908684	76909184	501	*	77.5815	0.876	0.814	4	Microglia._.Other	50703	LINC01629	Distal	15714	uc002ssk.5	0.5329	576	0	Peak63203
chr14	104077926	104078426	501	*	12.07641	0.396	0.213	2	Microglia._.Other	7502	ASPG	Distal	7502	uc061mkl.1	0.517	2279	0	Peak64126
chr14	104723917	104724417	501	*	61.86379	0.834	0.758	5	Microglia._.Other	18	ADSSL1	Promoter	18	uc061mkx.1	0.7565	756	0	Peak64144
chr14	104939549	104940049	501	*	10.87143	0.361	0.184	3	Microglia._.Other	14982	PLD4	Exonic	7638	uc061mld.1	0.5529	2367	0	Peak64163
chr14	105314473	105314973	501	*	58.81579	0.929	0.887	5	Microglia._.D19-12703	865	BRF1	Exonic	20	uc061mlm.1	0.8703	365	0	Peak64205
chr14	20890797	20891297	501	*	7.44057	0.221	0.075	4	Microglia._.Other	351	RNASE3	Promoter	351	uc061kko.1	0.4351	2634	0	Peak61493
chr14	21085364	21085864	501	*	11.99972	0.536	0.374	2	Microglia._.D19-13169	13322	TMEM253	Intronic	2138	uc061klk.1	0.511	1797	0	Peak61526
chr14	24271337	24271837	501	*	108.86327	0.929	0.887	5	Microglia._.Other	151	RABGGTA	Exonic	3	uc061kpz.1	0.6926	354	0	Peak61718
chr14	34220858	34221358	501	*	8.70892	0.334	0.164	2	Microglia._.D19-13166	1768	EGLN3	Intronic	1768	uc002ske.4	0.499	2371	0	Peak61834
chr14	53152361	53152861	501	*	13.30873	0.429	0.259	5	Microglia._.Other	670	DDHD1	Promoter	210	uc061lak.1	0.6966	2116	0	Peak62129
chr14	65355755	65356255	501	*	22.58626	0.588	0.435	4	Microglia._.Other	20821	MIR4708	Distal	20821	uc061lgw.1	0.485	1647	0	Peak62546
chr14	68607494	68607994	501	*	35.81517	0.711	0.596	4	Microglia._.Other	188508	ZFP36L1	Distal	20700	uc061lhx.1	0.5549	1184	0	Peak62706
chr14	77177770	77178270	501	*	23.99184	0.605	0.457	2	Microglia._.Other	35285	ZDHHC22	Intronic	2163	uc061lor.1	0.4611	1604	0	Peak63258
chr14	81301307	81301807	501	*	6.36661	0.159	0.05	2	Microglia._.Other	80179	GTF2A1	Intronic	22125	uc061lps.1	0.3932	2711	0	Peak63351
chr14	81437100	81437600	501	*	10.87143	0.361	0.184	2	Microglia._.Other	884	STON2	Promoter	884	uc021vks.1	0.4192	2354	0	Peak63363
chr14	81772282	81772782	501	*	9.05292	0.413	0.229	2	Microglia._.D19-13169	149470	LINC01467	Distal	29393	uc061lrg.1	0.3373	2227	0	Peak63380
chr14	93369083	93369583	501	*	21.19896	0.57	0.412	3	Microglia._.Other	22141	COX8C	Intronic	22141	uc061ltm.1	0.3972	1732	0	Peak63773
chr14	94001716	94002216	501	*	19.97046	0.728	0.613	4	Microglia._.D19-13169	4695	CCDC197	Intronic	4625	uc061lts.1	0.5329	1150	0	Peak63795
chr14	100214363	100214863	501	*	157.82503	0.969	0.946	5	Microglia._.Other	24371	YY1	Distal	23684	uc061lys.1	0.7285	174	0	Peak63937
chr14	20461480	20461980	501	*	28.43645	0.981	0.965	5	Microglia._.D19-13165	117	PIP4P1	Promoter	117	uc002shj.4	0.5549	118	0	Peak61416
chr14	24908470	24908970	501	*	79.36713	0.881	0.821	5	Microglia._.Other	141576	STXBP6	Intronic	60092	uc061krh.1	0.4691	548	0	Peak61771
chr14	34629304	34629804	501	*	13.30873	0.429	0.259	2	Microglia._.Other	628	SNX6	Exonic	117	uc002skk.4	0.5768	2107	0	Peak61842
chr14	50790488	50790988	501	*	8.55112	0.275	0.113	3	Microglia._.Other	31141	LOC105370489	Intronic	3779	uc061kzn.1	0.4172	2508	0	Peak62052
chr14	52742418	52742918	501	*	18.48246	0.531	0.361	3	Microglia._.Other	12487	STYX	Intronic	11073	uc061laf.1	0.3892	1840	0	Peak62116
chr14	61511945	61512445	501	*	29.78221	0.665	0.537	4	Microglia._.Other	58344	FLJ22447	Intronic	12894	uc061let.1	0.3832	1362	0	Peak62408
chr14	67515240	67515740	501	*	21.64949	0.754	0.65	5	Microglia._.D19-13169	17810	PLEKHH1	Intronic	4	uc002spt.5	0.7625	1049	0	Peak62578
chr14	68394700	68395200	501	*	22.58626	0.588	0.435	4	Microglia._.Other	401302	ZFP36L1	Intronic	7812	uc061lhx.1	0.6028	1649	0	Peak62675
chr14	69612462	69612962	501	*	51.77863	0.797	0.703	4	Microglia._.Other	1115	SUSD6	Intronic	1073	uc061lit.1	0.479	912	0	Peak62788
chr14	72164430	72164930	501	*	15.8493	0.485	0.317	3	Microglia._.Other	232240	RGS6	Intronic	93834	uc061ljp.1	0.3932	1961	0	Peak62881
chr14	73712412	73712912	501	*	13.48505	0.54	0.382	4	Microglia._.D19-13166	1709	PNMA1	Exonic	1709	uc061llc.1	0.525	1792	0	Peak62932
chr14	75283874	75284374	501	*	32.19314	0.864	0.797	5	Microglia._.D19-13169	5349	FOS	Distal	3930	uc002sro.4	0.511	632	0	Peak63069
chr14	75615052	75615552	501	*	65.0059	0.945	0.909	5	Microglia._.D19-12703	35713	LOC102724153	Intronic	6755	uc061lnp.1	0.521	289	0	Peak63126
chr14	77068178	77068678	501	*	21.19896	0.57	0.412	3	Microglia._.Other	7915	LINC02289	Exonic	7713	uc061lol.1	0.5768	1724	0	Peak63248
chr14	91115044	91115544	501	*	46.87028	0.775	0.676	4	Microglia._.Other	11130	SNORA11B	Intronic	593	uc021vky.2	0.501	978	0	Peak63622
chr14	92490512	92491012	501	*	108.86327	0.929	0.887	5	Microglia._.Other	23011	RIN3	Intronic	23011	uc061ltb.1	0.5549	361	0	Peak63670
chr14	94180676	94181176	501	*	9.05292	0.413	0.229	2	Microglia._.D19-13169	34797	PPP4R4	Intronic	5145	uc002suv.4	0.4052	2231	0	Peak63805
chr14	99738038	99738538	501	*	14.10826	0.523	0.347	2	Microglia._.D19-12703	594	EML1	Intronic	538	uc061lyn.1	0.6467	1888	0	Peak63900
chr14	103121418	103121918	501	*	65.29874	0.844	0.772	5	Microglia._.Other	1773	TNFAIP2	Promoter	1240	uc061mjd.1	0.6148	716	0	Peak64078
chr14	103334929	103335429	501	*	38.91301	0.732	0.624	4	Microglia._.Other	1634	EIF5	Exonic	229	uc061mjg.1	0.6108	1129	0	Peak64089
chr14	105370756	105371256	501	*	55.10212	0.81	0.724	4	Microglia._.Other	27572	MTA1	Intronic	587	uc061mlp.1	0.5768	862	0	Peak64216
chr14	106518277	106518777	501	*	8.02917	0.294	0.128	2	Microglia._.D19-12703	36087	LINC00221	Intronic	6670	uc061mmc.1	0.483	2498	0	Peak64239
chr14	22690759	22691259	501	*	13.30873	0.429	0.259	4	Microglia._.Other	75512	OXA1L	Distal	52535	uc010feb.2	0.4251	2105	0	Peak61567
chr14	24167177	24167677	501	*	15.8493	0.485	0.317	3	Microglia._.Other	4425	REC8	Distal	1667	uc061kpo.1	0.485	1933	0	Peak61705
chr14	51223428	51223928	501	*	10.87143	0.361	0.184	2	Microglia._.Other	16483	TMX1	Distal	16483	uc061kzq.1	0.4032	2321	0	Peak62076
chr14	52791362	52791862	501	*	124.18869	0.946	0.912	5	Microglia._.Other	55	GNPNAT1	Promoter	10	uc031rok.1	0.7745	280	0	Peak62118
chr14	56116397	56116897	501	*	31.26897	0.677	0.55	3	Microglia._.Other	1166	PELI2	Promoter	1166	uc002snw.5	0.4631	1320	0	Peak62223
chr14	58567464	58567964	501	*	8.55112	0.275	0.113	2	Microglia._.Other	66252	DACT1	Distal	27846	uc061lcp.1	0.477	2513	0	Peak62271
chr14	58777366	58777866	501	*	15.15633	0.589	0.444	2	Microglia._.D19-13166	50617	LINC01500	Distal	6369	uc061lcq.1	0.5349	1630	0	Peak62287
chr14	61344472	61344972	501	*	37.31791	0.884	0.826	5	Microglia._.D19-13166	62881	TMEM30B	Intronic	397	uc002sor.4	0.495	531	0	Peak62368
chr14	61472371	61472871	501	*	9.48621	0.368	0.199	4	Microglia._.D19-12703	97918	FLJ22447	Intronic	4545	uc061let.1	0.3972	2286	0	Peak62383
chr14	68681521	68682021	501	*	10.98767	0.428	0.245	2	Microglia._.D19-12703	114481	ZFP36L1	Distal	3793	uc061lhx.1	0.4711	2172	0	Peak62716
chr14	69685034	69685534	501	*	6.6224	0.203	0.062	2	Microglia._.D19-12703	41615	SRSF5	Intronic	26773	uc010fgo.5	0.477	2672	0	Peak62811
chr14	73569011	73569511	501	*	32.77034	0.689	0.564	3	Microglia._.Other	1640	ACOT2	Exonic	23	uc061lky.1	0.5788	1283	0	Peak62923
chr14	75286262	75286762	501	*	29.57388	0.823	0.745	4	Microglia._.D19-13166	7737	FOS	Distal	6318	uc002sro.4	0.4651	781	0	Peak63070
chr14	75406978	75407478	501	*	3.40647	0.014	0.002	2	Microglia._.Other	20487	JDP2	Distal	20461	uc002srr.3	0.3713	2856	0	Peak63101
chr14	76977773	76978273	501	*	47.24121	0.939	0.901	5	Microglia._.D19-13169	18384	LINC01629	Distal	10257	uc002ssk.5	0.5948	315	0	Peak63217
chr14	77027033	77027533	501	*	20.7419	0.656	0.518	2	Microglia._.D19-12703	1415	IRF2BPL	Exonic	802	uc061loj.1	0.7186	1427	0	Peak63223
chr14	88385373	88385873	501	*	176.14819	0.977	0.958	5	Microglia._.Other	698	SPATA7	Exonic	14	uc061lrq.1	0.6567	139	0	Peak63434
chr14	89308451	89308951	501	*	32.19314	0.864	0.797	5	Microglia._.D19-13169	108652	FOXN3-AS1	Intronic	41583	uc061lrw.1	0.511	638	0	Peak63467
chr14	92651123	92651623	501	*	41.48499	0.917	0.871	4	Microglia._.D19-13169	97328	LGMN	Intronic	454	uc061ltc.1	0.5968	398	0	Peak63702
chr14	100067530	100068030	501	*	12.07641	0.396	0.213	3	Microglia._.Other	41733	MIR151B	Intronic	1342	uc061lyp.1	0.5289	2277	0	Peak63915
chr14	100306984	100307484	501	*	9.48621	0.368	0.199	3	Microglia._.D19-12703	624	MIR345	Promoter	624	uc061lzb.1	0.6946	2307	0	Peak63953
chr14	102314093	102314593	501	*	126.12824	0.947	0.913	5	Microglia._.Other	3033	ZNF839	Distal	3033	uc061miq.1	0.5689	276	0	Peak64024
chr14	105490664	105491164	501	*	81.8046	0.991	0.982	5	Microglia._.D19-13169	3714	TEDC1	Intronic	150	uc061mlu.1	0.6906	72	0	Peak64232
chr14	20625188	20625688	501	*	11.99972	0.536	0.374	4	Microglia._.D19-13169	15553	RNASE11	Distal	15553	uc061kkf.1	0.4631	1796	0	Peak61432
chr14	21097502	21098002	501	*	8.02917	0.294	0.128	3	Microglia._.D19-12703	1184	TMEM253	Promoter	887	uc061klk.1	0.6447	2481	0	Peak61530
chr14	21476801	21477301	501	*	112.14046	0.998	0.995	5	Microglia._.D19-13169	77	RAB2B	Promoter	77	uc061klw.1	0.5828	14	0	Peak61549
chr14	51780086	51780586	501	*	6.28496	0.235	0.096	3	Microglia._.D19-13169	45858	GNG2	Distal	15059	uc061kzw.1	0.491	2562	0	Peak62082
chr14	61762839	61763339	501	*	6.36661	0.159	0.05	2	Microglia._.Other	28950	SNAPC1	Intronic	731	uc002soy.4	0.487	2692	0	Peak62446
chr14	65042555	65043055	501	*	58.46455	0.822	0.742	4	Microglia._.Other	1882	MIR4706	Promoter	1882	uc061lgt.1	0.481	790	0	Peak62514
chr14	65101509	65102009	501	*	10.87143	0.361	0.184	3	Microglia._.Other	935	MAX	Intronic	73	uc061lgs.1	0.5988	2336	0	Peak62526
chr14	68331387	68331887	501	*	31.26897	0.677	0.55	4	Microglia._.Other	464615	ZFP36L1	Intronic	55499	uc061lhx.1	0.3812	1327	0	Peak62646
chr14	68408683	68409183	501	*	6.28496	0.235	0.096	2	Microglia._.D19-13169	387319	ZFP36L1	Intronic	2576	uc061lhx.1	0.3593	2571	0	Peak62680
chr14	73713576	73714076	501	*	17.15491	0.509	0.336	3	Microglia._.Other	545	PNMA1	Exonic	545	uc061llc.1	0.6567	1901	0	Peak62933
